702380001,ОМВД  России по городскому округу Кашира,9,,
702390001,"ОАО ""Ожерельевский плодолесопитомник"" (цех)",9,,
702400001,"НУЗ ""Узловая поликлиника на станции Ожерелье ОАО ""РЖД""",9,,
702420001,"ГБУЗ МО ""Каширская центральная районная больница"" (бактериологическая лаборатория)",9,,
702420002,"ГБУЗ МО ""Каширская центральная районная больница"" (стоматология №1)",9,,
702420004,"ГБУЗ МО ""Каширская центральная районная больница"" (зубопротезная поликлиника)",9,,
702440001,"ООО ""Газ-Сервис"" -корп.1",9,,
702440002,"ООО ""Газ-Сервис"" -корп.2",9,,
702500001,Межрайонная ИФНС России №18 по МО (Счетчик 1),9,,
702500002,Межрайонная ИФНС России №18 по МО (Счетчик 2),9,,
702510001,"МБУК ""Каширский краеведческий музей""",9,,
702520001,ИП Филимонов В.А.(Бытовое помещение),9,,
702520004,ИП Филимонов В.А.(производственное помещ.),9,,
702530001,"ООО ""Бекон-2""",9,,
702580001,"ФГБУ ""Российский сельскохозяйственный центр""",9,,
702620001,"ИП ОрловаЛ.Н. (магазин ""Лазурит"")",9,,
702630001,ИП Крутилин В.М. магазин в Аладьино,9,,
702640001,"ООО ""Рица-М"" (магазин)",9,,
702640002,"ООО ""Рица-М"" (салон красоты)",9,,
702760001,МРОП приход Никольского храма г.Кашира МО МЕРЦ,9,,
702790001,"ООО ТП ""Планета""",9,,
703100002,"ФГКУ ""УВО ВНГ России по Московской области"" (контора)",9,,
703100003,"ФГКУ ""УВО ВНГ России по Московской области"" (гараж)",9,,
703380001,ИП Леонов А.В. сч. № 1,9,,
703380002,ИП Леонов А.В. сч. № 2,9,,
703720001,Краюшкин В.Н. (Магазин Электрики),9,,
703720002,Краюшкин В.Н. (Контора),9,,
703720003,Краюшкин В.Н. (Электротовары),9,,
703770001,"МБДОУ ""Детский сад  №2""",9,,
703970002,Фрегер И.А. (магазин),9,,
703980001,"ООО ""Медицинский центр"" (Счетчик 1)",9,,
703980003,"ООО ""Медицинский центр"" (Счетчик 2)",9,,
703990001,ИП Матвеев М.М.,9,,
704020001,"ООО ""ЛСР. Стеновые """,9,,
704150001,"АО  ""Кашираагропромстрой""",9,,
704160001,ИП Фокин С.Н. (здание магазина),9,,
704200001,Щеглюк Н.В. (здание остановочно-торгового комплекса),9,,
704360001,ИП  Коростелев М.В. (ювелирная  мастерская),9,,
704370001,Шестов А.Н. (торгово-сервисный центр),9,,
704380001,Чижиков И.Н. (торговый центр),9,,
704430001,Свиркин Ю.Г. (гостиница),9,,
704460001,Комитет по управлению имуществом администрации городского округа Кашира (ДЭЦ кухня) г.Кашира,9,,
704460002,Комитет по управлению имуществом администрации городского округа Кашира (ДЭЦ топочная) г.Кашира,9,,
704490001,Дембицкий И.Н. (кафе-закусочная),9,,
704710001,Бычков  Д.А.,9,,
704800017,"ГБУВ МО ""Терветуправление № 5""  (лечебница Кашира)",9,,
704800018,"ГБУВ МО ""Терветуправление № 5""  (лаборатория Кашира)",9,,
704900001,Малин М.А..(гараж),9,,
704990001,Нестерова Н.В.  (вет.лечеб.),9,,
705850001,Тимохин С.А.,9,,
705860001,Кочетов Виктор Владимирович (контора),9,,
705860002,Кочетов Виктор Владимирович (баня),9,,
706000001,Потокин А.А. (магазин),9,,
706300001,"ООО ""Компромис"" (магазин)",9,,
706460001,"МАУК ""Центр культурных инициатив"" городского округа Кашира (Бытовое помещение)",9,,
706470001,"МБУ городского округа Кашира ""Благоустройство"" (Вечный огонь) Ожерелье",9,,
706470002,"МБУ городского округа Кашира ""Благоустройство"" (Вечный огонь) Кашира",9,,
706480001,Рябова И.Е. (автогараж),9,,
706500001,Зайцев Н.Н. (административное здание),9,,
706590001,ИП Максименко В.И.,9,,
